Subject,measure
sub001,-1.78029016344937
sub002,1.30082089089296
sub003,0.0230255648939672
sub004,0.477015562051635
sub005,0.24243903229274
sub006,-0.274923215050143
sub007,-0.0246323368992453
sub008,-1.20777159251406
sub009,0.918123336705175
sub010,0.612135894884965
sub011,-0.14606453968035
sub012,0.569981669341981
sub013,0.287111530038686
sub014,0.0584611266470023
sub015,0.659780250760603
sub016,0.130663049782319
sub017,1.6513587940867
sub018,-0.426257897807313
sub019,0.308414330395902
sub020,0.933321002408992
sub021,0.136354458959364
sub022,0.339235714813297
sub023,1.24877627876916
sub024,-0.55285875589804
sub025,1.02340032654557
sub026,1.5462678728194
sub027,-1.59056559946802
sub028,-1.16549461020719
sub029,2.5608002268468
sub030,1.7756031484814
